¿Has tenido alguna de estas preguntas o conoces a alguien que las haya tenido?;No. De respuestas;¿Has tenido alguna de estas preguntas o conoces a alguien que las haya tenido?;No. De respuestas
¿Cómo matriculo modulos?;4;¿Cómo matriculo modulos?;4
¿Cómo puedo matricular ingles?;5;¿Cómo puedo matricular ingles?;5
¿Cómo aplica la politica de gratuidad?;5;¿Cómo aplica la politica de gratuidad?;5
¿Cómo puedo homologar modulos?;9;¿Cómo puedo homologar modulos?;9
¿Cómo funcionan las practicas?;8;¿Cómo funcionan las practicas?;8
¿Cuánto vale un credito?;6;¿Cuánto vale un credito?;6
¿Cómo puedo pagar el seguro estudiantil?;4;¿Cómo puedo pagar el seguro estudiantil?;4
